"","country","year","gdpPerCapita","lifeExpectancy","continent"
"202","Comoros","2001",1290,62.5,"Africa"
"203","Costa Rica","2001",6270,78,"North America"
"204","Croatia","2001",11200,74.8,"Europe"
"205","Cuba","2001",3580,77.1,"North America"
"206","Cyprus","2001",27400,77,"Europe"
"207","Denmark","2001",56100,77.2,"Europe"
"208","Djibouti","2001",NA,60.8,"Africa"
"209","Dominica","2001",5570,73.9,"North America"
"210","Dominican Republic","2001",4090,74,"North America"
"211","Ecuador","2001",3740,74.8,"South America"
"212","Egypt","2001",2010,68.5,"Africa"
"213","El Salvador","2001",2670,72.3,"North America"
"214","Equatorial Guinea","2001",8720,57.3,"Africa"
"215","Eritrea","2001",667,54.5,"Africa"
"216","Estonia","2001",10700,70.8,"Europe"
"217","Ethiopia","2001",208,53,"Africa"
"218","Fiji","2001",3370,66.3,"Oceania"
"219","Finland","2001",41400,78.2,"Europe"
"220","France","2001",38800,79.2,"Europe"
"221","Gabon","2001",10100,59,"Africa"
"222","Gambia","2001",854,61.9,"Africa"
"223","Georgia","2001",1740,73,"Europe"
"224","Germany","2001",38500,78.6,"Europe"
"225","Ghana","2001",967,59.4,"Africa"
"226","Greece","2001",24100,79,"Europe"
"227","Grenada","2001",6130,74.1,"North America"
"228","Guatemala","2001",2570,68.6,"North America"
"229","Guinea","2001",622,54.8,"Africa"
"230","Guinea-Bissau","2001",550,52.3,"Africa"
"231","Guyana","2001",2460,66.2,"South America"
"232","Haiti","2001",735,57.9,"North America"
"233","Honduras","2001",1610,70.7,"North America"
"234","Hungary","2001",10900,72.4,"Europe"
"235","Iceland","2001",38400,80.4,"Europe"
"236","India","2001",852,63.3,"Asia"
"237","Indonesia","2001",2190,67.6,"Asia"
"238","Iran","2001",4790,73.7,"Asia"
"239","Iraq","2001",4290,67.6,"Asia"
"240","Ireland","2001",45700,77.2,"Europe"
"241","Israel","2001",27100,78.9,"Asia"
"242","Italy","2001",37000,79.8,"Europe"
"243","Jamaica","2001",4690,74.2,"North America"
"244","Japan","2001",42200,81.7,"Asia"
"245","Jordan","2001",2930,73.1,"Asia"
"246","Kazakhstan","2001",5110,65.5,"Asia"
"247","Kenya","2001",828,55.7,"Africa"
"248","Kiribati","2001",1670,59.5,"Oceania"
"249","Kuwait","2001",35100,79.3,"Asia"
"250","Latvia","2001",7500,70.2,"Europe"
"251","Lebanon","2001",5720,75.7,"Asia"
"252","Lesotho","2001",838,47.7,"Africa"
"253","Liberia","2001",610,55.2,"Africa"
"254","Libya","2001",8670,73.3,"Africa"
"255","Lithuania","2001",7440,71.8,"Europe"
"256","Luxembourg","2001",94700,78.3,"Europe"
"257","Madagascar","2001",504,59.6,"Africa"
"258","Malawi","2001",364,44.9,"Africa"
"259","Malaysia","2001",6890,73.2,"Asia"
"260","Maldives","2001",5430,73,"Asia"
"261","Mali","2001",622,54,"Africa"
"262","Malta","2001",18300,78.7,"Europe"
"263","Marshall Islands","2001",2840,62,"Oceania"
"264","Mauritania","2001",1420,63.9,"Africa"
"265","Mauritius","2001",5810,72.4,"Africa"
"266","Mexico","2001",9090,74.9,"North America"
"267","Moldova","2001",1540,68.9,"Europe"
"268","Mongolia","2001",1630,62.4,"Asia"
"269","Montenegro","2001",4980,74,"Europe"
"270","Morocco","2001",2100,69.7,"Africa"
"271","Mozambique","2001",315,50.6,"Africa"
"272","Namibia","2001",3990,53.9,"Africa"
"273","Nepal","2001",469,66.4,"Asia"
"274","Netherlands","2001",47200,78.3,"Europe"
"275","New Zealand","2001",30200,78.6,"Oceania"
"276","Nicaragua","2001",1310,75,"North America"
"277","Niger","2001",442,52.4,"Africa"
"278","Nigeria","2001",1430,55.4,"Africa"
"279","Norway","2001",82900,78.8,"Europe"
"280","Oman","2001",18800,73.4,"Asia"
"281","Pakistan","2001",828,62.1,"Asia"
"282","Panama","2001",5420,77.7,"North America"
"283","Papua New Guinea","2001",1610,55.9,"Oceania"
"284","Paraguay","2001",3470,74.8,"South America"
"285","Peru","2001",3220,75.6,"South America"
"286","Philippines","2001",1680,69.2,"Asia"
"287","Poland","2001",8640,74.3,"Europe"
"288","Portugal","2001",21800,77,"Europe"
"289","Qatar","2001",60900,74.9,"Asia"
"290","Romania","2001",5220,71.1,"Europe"
"291","Rwanda","2001",369,50.8,"Africa"
"292","Samoa","2001",3040,71.8,"Oceania"
"293","Sao Tome and Principe","2001",844,65,"Africa"
"294","Saudi Arabia","2001",17700,74.8,"Asia"
"295","Senegal","2001",1140,61.2,"Africa"
"296","Serbia","2001",3770,72.4,"Europe"
"297","Seychelles","2001",9560,71.7,"Africa"
"298","Sierra Leone","2001",273,51.4,"Africa"
"299","Singapore","2001",32600,79.6,"Asia"
"300","Slovenia","2001",19100,76.2,"Europe"
"301","Solomon Islands","2001",1120,61.3,"Oceania"
"302","South Africa","2001",6020,54.9,"Africa"
"303","South Sudan","2001",NA,55.1,"Africa"
"304","Spain","2001",29300,79.7,"Europe"
"305","Sri Lanka","2001",1780,72.7,"Asia"
"306","Sudan","2001",1030,63.8,"Africa"
"307","Suriname","2001",5900,69.5,"South America"
"308","Sweden","2001",45500,79.8,"Europe"
"309","Switzerland","2001",68300,80.5,"Europe"
"310","Tajikistan","2001",448,68.2,"Asia"
"311","Tanzania","2001",540,54.1,"Africa"
"312","Thailand","2001",3540,72.6,"Asia"
"313","Togo","2001",548,56.7,"Africa"
"314","Tonga","2001",3380,70.7,"Oceania"
"315","Trinidad and Tobago","2001",10200,70.6,"North America"
"316","Tunisia","2001",3090,74.6,"Africa"
"317","Turkey","2001",7630,74.8,"Asia"
"318","Turkmenistan","2001",2460,67.1,"Asia"
"319","Uganda","2001",560,50,"Africa"
"320","Ukraine","2001",2010,68.3,"Europe"
"321","United Arab Emirates","2001",60900,71.8,"Asia"
"322","United Kingdom","2001",36600,78.2,"Europe"
"323","Uruguay","2001",8640,74.9,"South America"
"324","Uzbekistan","2001",1010,67.3,"Asia"
"325","Vanuatu","2001",2680,63.3,"Oceania"
"326","Venezuela","2001",12100,74,"South America"
"327","Vietnam","2001",804,71.7,"Asia"
"328","Yemen","2001",1180,63.9,"Asia"
"329","Zambia","2001",973,46.1,"Africa"
"330","Zimbabwe","2001",1460,46.2,"Africa"
"331","Afghanistan","2002",330,55.6,"Asia"
"332","Albania","2002",2570,75.3,"Europe"
"333","Algeria","2002",3770,74.5,"Africa"
"334","Andorra","2002",42600,81.6,"Europe"
"335","Angola","2002",2430,53.5,"Africa"
"336","Antigua and Barbuda","2002",12300,75.2,"North America"
"337","Argentina","2002",6850,74.2,"South America"
"338","Armenia","2002",1760,72.7,"Europe"
"339","Australia","2002",45800,80.2,"Oceania"
"340","Austria","2002",42900,78.9,"Europe"
"341","Azerbaijan","2002",1960,67.3,"Europe"
"342","Bahamas","2002",32200,72.4,"North America"
"343","Bahrain","2002",22000,74.2,"Asia"
"344","Bangladesh","2002",552,66.5,"Asia"
"345","Barbados","2002",15200,75.3,"North America"
"346","Belarus","2002",3130,67.8,"Europe"
"347","Belgium","2002",40400,78.3,"Europe"
"348","Belize","2002",3990,71.3,"North America"
"349","Benin","2002",985,58.1,"Africa"
"350","Bhutan","2002",1290,67.8,"Asia"
"351","Bolivia","2002",1610,67.6,"South America"
"352","Bosnia and Herzegovina","2002",3310,75.5,"Europe"
"353","Botswana","2002",5340,51.9,"Africa"
"354","Brazil","2002",8950,72.1,"South America"
"355","Brunei","2002",36800,74.2,"Asia"
"356","Bulgaria","2002",4570,72.2,"Europe"
"357","Burundi","2002",232,46.6,"Africa"
"358","Cambodia","2002",475,61.5,"Asia"
"359","Cameroon","2002",1180,54.6,"Africa"
"360","Canada","2002",40400,79.6,"North America"
"361","Cape Verde","2002",2300,71.7,"Africa"
"362","Central African Republic","2002",438,44.4,"Africa"
"363","Chad","2002",519,52.5,"Africa"
"364","Chile","2002",9810,77.3,"South America"
"365","China","2002",2060,73,"Asia"
"366","Colombia","2002",4910,73.3,"South America"
"367","Comoros","2002",1290,62.9,"Africa"
"368","Costa Rica","2002",6380,78.3,"North America"
"369","Croatia","2002",11800,74.9,"Europe"
"370","Cuba","2002",3620,77.8,"North America"
"371","Cyprus","2002",28100,77.2,"Europe"
"372","Denmark","2002",56200,77.2,"Europe"
"373","Djibouti","2002",NA,60.9,"Africa"
"374","Dominica","2002",5400,74,"North America"
"375","Dominican Republic","2002",4210,74.1,"North America"
"376","Ecuador","2002",3830,74.3,"South America"
"377","Egypt","2002",2020,68.4,"Africa"
"378","El Salvador","2002",2700,73.1,"North America"
"379","Equatorial Guinea","2002",10000,58.6,"Africa"
"380","Eritrea","2002",657,55,"Africa"
"381","Estonia","2002",11500,71.3,"Europe"
"382","Ethiopia","2002",205,53.9,"Africa"
"383","Fiji","2002",3470,66.6,"Oceania"
"384","Finland","2002",42000,78.5,"Europe"
"385","France","2002",38900,79.4,"Europe"
"386","Gabon","2002",9880,59,"Africa"
"387","Gambia","2002",800,62,"Africa"
"388","Georgia","2002",1850,72.4,"Europe"
"389","Germany","2002",38400,78.7,"Europe"
"390","Ghana","2002",986,59.5,"Africa"
"391","Greece","2002",25000,79.2,"Europe"
"392","Grenada","2002",6320,74.2,"North America"
"393","Guatemala","2002",2600,69.3,"North America"
"394","Guinea","2002",641,55.2,"Africa"
"395","Guinea-Bissau","2002",533,52.6,"Africa"
"396","Guyana","2002",2490,66.2,"South America"
"397","Haiti","2002",721,58.5,"North America"
"398","Honduras","2002",1630,71,"North America"
"399","Hungary","2002",11500,72.5,"Europe"
"400","Iceland","2002",38300,80.8,"Europe"
"401","India","2002",869,63.9,"Asia"
"402","Indonesia","2002",2260,67.8,"Asia"
"403","Iran","2002",5080,73.8,"Asia"
"404","Iraq","2002",3880,67.7,"Asia"
"405","Ireland","2002",47600,77.7,"Europe"
"406","Israel","2002",26600,78.7,"Asia"
"407","Italy","2002",37100,80.1,"Europe"
"408","Jamaica","2002",4750,75,"North America"
"409","Japan","2002",42200,82,"Asia"
"410","Jordan","2002",3050,73.4,"Asia"
"411","Kazakhstan","2002",5610,65.5,"Asia"
"412","Kenya","2002",810,55.8,"Africa"
"413","Kiribati","2002",1700,59.6,"Oceania"
"414","Kuwait","2002",35600,79.4,"Asia"
"415","Latvia","2002",8130,70.5,"Europe"
"416","Lebanon","2002",5640,75.9,"Asia"
"417","Lesotho","2002",846,46.5,"Africa"
"418","Liberia","2002",618,55,"Africa"
"419","Libya","2002",8450,73.4,"Africa"
"420","Lithuania","2002",8010,72.2,"Europe"
"421","Luxembourg","2002",97300,78.4,"Europe"
"422","Madagascar","2002",428,59.8,"Africa"
"423","Malawi","2002",361,45.3,"Africa"
"424","Malaysia","2002",7110,73.4,"Asia"
"425","Maldives","2002",5670,73.8,"Asia"
"426","Mali","2002",622,54.5,"Africa"
"427","Malta","2002",18700,79,"Europe"
"428","Marshall Islands","2002",2900,62,"Oceania"
"429","Mauritania","2002",1400,64.4,"Africa"
"430","Mauritius","2002",5860,72.4,"Africa"
"431","Mexico","2002",8960,75,"North America"
"432","Moldova","2002",1660,69.1,"Europe"
"433","Mongolia","2002",1690,62.8,"Asia"
"434","Montenegro","2002",5060,74.2,"Europe"
"435","Morocco","2002",2130,70,"Africa"
"436","Mozambique","2002",334,50.5,"Africa"
"437","Namibia","2002",4120,53.1,"Africa"
"438","Nepal","2002",463,66.5,"Asia"
"439","Netherlands","2002",47000,78.4,"Europe"
"440","New Zealand","2002",31100,78.7,"Oceania"
"441","Nicaragua","2002",1300,75.1,"North America"
"442","Niger","2002",447,53.2,"Africa"
"443","Nigeria","2002",1610,55.7,"Africa"
"444","Norway","2002",83700,79,"Europe"
"445","Oman","2002",18300,73.7,"Asia"
"446","Pakistan","2002",829,62.3,"Asia"
"447","Panama","2002",5440,77.8,"North America"
"448","Papua New Guinea","2002",1570,55.8,"Oceania"
"449","Paraguay","2002",3410,74.9,"South America"
"450","Peru","2002",3360,76,"South America"
"451","Philippines","2002",1710,69.1,"Asia"
"452","Poland","2002",8820,74.7,"Europe"
"453","Portugal","2002",21800,77.3,"Europe"
"454","Qatar","2002",62600,75.5,"Asia"
"455","Romania","2002",5620,71.1,"Europe"
"456","Rwanda","2002",408,52.3,"Africa"
"457","Samoa","2002",3150,72,"Oceania"
"458","Sao Tome and Principe","2002",849,65.3,"Africa"
"459","Saudi Arabia","2002",16700,74.7,"Asia"
"460","Senegal","2002",1120,61.5,"Africa"
"461","Serbia","2002",4010,72.5,"Europe"
"462","Seychelles","2002",9380,71.9,"Africa"
"463","Sierra Leone","2002",330,51.5,"Africa"
"464","Singapore","2002",33600,80,"Asia"
"465","Slovenia","2002",19700,76.5,"Europe"
"466","Solomon Islands","2002",1060,61.2,"Oceania"
"467","South Africa","2002",6160,53.8,"Africa"
"468","South Sudan","2002",NA,55.4,"Africa"
"469","Spain","2002",29700,79.8,"Europe"
"470","Sri Lanka","2002",1840,73.6,"Asia"
"471","Sudan","2002",1060,64,"Africa"
"472","Suriname","2002",5990,69.4,"South America"
"473","Sweden","2002",46300,80,"Europe"
"474","Switzerland","2002",67900,80.7,"Europe"
"475","Tajikistan","2002",488,68.5,"Asia"
"476","Tanzania","2002",562,54.8,"Africa"
"477","Thailand","2002",3730,73,"Asia"
"478","Togo","2002",554,56.8,"Africa"
"479","Tonga","2002",3480,70.7,"Oceania"
"480","Trinidad and Tobago","2002",10900,71.1,"North America"
"481","Tunisia","2002",3100,74.8,"Africa"
"482","Turkey","2002",8000,75.4,"Asia"
"483","Turkmenistan","2002",2440,67.1,"Asia"
"484","Uganda","2002",590,50.7,"Africa"
"485","Ukraine","2002",2130,68.2,"Europe"
"486","United Arab Emirates","2002",59200,72.1,"Asia"
"487","United Kingdom","2002",37300,78.3,"Europe"
"488","Uruguay","2002",7970,74.9,"South America"
"489","Uzbekistan","2002",1030,67.1,"Asia"
"490","Vanuatu","2002",2480,63.3,"Oceania"
"491","Venezuela","2002",10800,74,"South America"
"492","Vietnam","2002",847,71.9,"Asia"
"493","Yemen","2002",1190,64.4,"Asia"
"494","Zambia","2002",991,47,"Africa"
"495","Zimbabwe","2002",1330,45.6,"Africa"
"496","Afghanistan","2003",343,56.4,"Asia"
"497","Albania","2003",2730,75.4,"Europe"
"498","Algeria","2003",3990,74.6,"Africa"
"499","Andorra","2003",44300,81.7,"Europe"
"500","Angola","2003",2420,54.2,"Africa"
"501","Antigua and Barbuda","2003",12900,75.4,"North America"
"502","Argentina","2003",7380,74.3,"South America"
"503","Armenia","2003",2020,72.9,"Europe"
"504","Australia","2003",46600,80.5,"Oceania"
"505","Austria","2003",43100,79,"Europe"
"506","Azerbaijan","2003",2150,67.2,"Europe"
"507","Bahamas","2003",31300,72.9,"North America"
"508","Bahrain","2003",22100,74.2,"Asia"
"509","Bangladesh","2003",568,66.8,"Asia"
"510","Barbados","2003",15500,75.4,"North America"
"511","Belarus","2003",3370,68.4,"Europe"
"512","Belgium","2003",40600,78.5,"Europe"
"513","Belize","2003",4250,71.5,"North America"
"514","Benin","2003",989,58.4,"Africa"
"515","Bhutan","2003",1370,68.3,"Asia"
"516","Bolivia","2003",1620,68.1,"South America"
"517","Bosnia and Herzegovina","2003",3440,76,"Europe"
"518","Botswana","2003",5490,51.4,"Africa"
"519","Brazil","2003",8940,72.3,"South America"
"520","Brunei","2003",37200,74.4,"Asia"
"521","Bulgaria","2003",4840,72.4,"Europe"
"522","Burundi","2003",223,47.5,"Africa"
"523","Cambodia","2003",507,62.1,"Asia"
"524","Cameroon","2003",1200,54.6,"Africa"
"525","Canada","2003",41500,79.8,"North America"
"526","Cape Verde","2003",2360,72,"Africa"
"527","Central African Republic","2003",406,44.7,"Africa"
"528","Chad","2003",573,52.6,"Africa"
"529","Chile","2003",10100,77.3,"South America"
"530","China","2003",2250,73.4,"Asia"
"531","Colombia","2003",5030,75.1,"South America"
"532","Comoros","2003",1290,63.6,"Africa"
"533","Costa Rica","2003",6550,78.4,"North America"
"534","Croatia","2003",12500,74.9,"Europe"
"535","Cuba","2003",3750,77.8,"North America"
"536","Cyprus","2003",28500,77.4,"Europe"
"537","Denmark","2003",56300,77.5,"Europe"
"538","Djibouti","2003",NA,61,"Africa"
"539","Dominica","2003",5720,73.9,"North America"
"540","Dominican Republic","2003",4100,73.8,"North America"
"541","Ecuador","2003",3870,74.2,"South America"
"542","Egypt","2003",2050,68.4,"Africa"
"543","El Salvador","2003",2730,73,"North America"
"544","Equatorial Guinea","2003",10900,59.3,"Africa"
"545","Eritrea","2003",610,55.2,"Africa"
"546","Estonia","2003",12500,72,"Europe"
"547","Ethiopia","2003",195,54.8,"Africa"
"548","Fiji","2003",3500,66.7,"Oceania"
"549","Finland","2003",42700,78.7,"Europe"
"550","France","2003",39000,79.6,"Europe"
"551","Gabon","2003",9860,58.9,"Africa"
"552","Gambia","2003",828,62.1,"Africa"
"553","Georgia","2003",2070,72.6,"Europe"
"554","Germany","2003",38100,78.8,"Europe"
"555","Ghana","2003",1010,59.6,"Africa"
"556","Greece","2003",26300,79.1,"Europe"
"557","Grenada","2003",6890,74.4,"North America"
"558","Guatemala","2003",2610,69.4,"North America"
"559","Guinea","2003",637,55.5,"Africa"
"560","Guinea-Bissau","2003",524,52.9,"Africa"
"561","Guyana","2003",2480,66.5,"South America"
"562","Haiti","2003",712,58.9,"North America"
"563","Honduras","2003",1660,71.2,"North America"
"564","Hungary","2003",12000,72.6,"Europe"
"565","Iceland","2003",38900,81.1,"Europe"
"566","India","2003",922,64.5,"Asia"
"567","Indonesia","2003",2340,68,"Asia"
"568","Iran","2003",5450,72.9,"Asia"
"569","Iraq","2003",2520,68.4,"Asia"
"570","Ireland","2003",48200,78.2,"Europe"
"571","Israel","2003",26400,79.4,"Asia"
"572","Italy","2003",36900,80.1,"Europe"
"573","Jamaica","2003",4890,75.9,"North America"
"574","Japan","2003",42700,82.1,"Asia"
"575","Jordan","2003",3100,74,"Asia"
"576","Kazakhstan","2003",6110,65.3,"Asia"
"577","Kenya","2003",811,56,"Africa"
"578","Kiribati","2003",1710,59.8,"Oceania"
"579","Kuwait","2003",41300,79.5,"Asia"
