"","year","id","ballot","age","childs","sibs","degree","race","sex","region","income16","relig","marital","padeg","madeg","partyid","polviews","happy","partners","grass","zodiac","pres12","wtssall","income_rc","agegrp","ageq","siblings","kids","religion","bigregion","partners_rc","obama"
"20",2016,20,1,43,2,0,"High School","Black","Male","New England","$25000 to 29999","Protestant","Divorced","Bachelor","Bachelor","Strong Democrat","Liberal","Pretty Happy",,NA,"Gemini",1,0.782181681487619,"Gt $25000","Age 35-45","Age 34-49","0","2","Protestant","Northeast",NA,1
"21",2016,21,2,58,0,1,"High School","White","Female","New England","$90000 to $109999","Catholic","Never Married","High School","High School","Strong Democrat","Liberal","Pretty Happy","No Partners","Legal","Leo",1,0.956993511490439,"Gt $90000","Age 55-65","Age 49-62","1","0","Catholic","Northeast","0",1
"22",2016,22,3,32,3,4,"Lt High School","Black","Female","Middle Atlantic","$40000 to 49999","None","Never Married","High School","High School","Independent","Slightly Conservative","Pretty Happy","1 Partner","Legal","Pisces",,1.56436336297524,"Gt $40000","Age 18-35","Age 18-34","4","3","None","Northeast","1",NA
"23",2016,23,2,23,2,2,"Lt High School","Other","Female","Middle Atlantic","$22500 to 24999","None","Never Married",,"Lt High School","Ind,near Dem","Slightly Liberal","Very Happy","1 Partner","Not Legal","Virgo",NA,1.56436336297524,"Gt $20000","Age 18-35","Age 18-34","2","2","None","Northeast","1",NA
"24",2016,24,3,37,2,2,"High School","White","Female","Middle Atlantic","$60000 to 74999","Catholic","Married","High School","High School","Independent","Extremely Conservative","Very Happy","1 Partner","Legal","Cancer",,1.56436336297524,"Gt $60000","Age 35-45","Age 34-49","2","2","Catholic","Northeast","1",NA
"25",2016,25,3,25,2,2,"Junior College","White","Female","Middle Atlantic","$20000 to 22499","Catholic","Divorced","High School",,"Ind,near Rep","Liberal","Pretty Happy","3 Partners","Not Legal","Libra",NA,0.478496755745219,"Gt $20000","Age 18-35","Age 18-34","2","2","Catholic","Northeast","3",NA
"26",2016,26,2,76,8,7,"Lt High School","White","Female","Middle Atlantic","$5 000 to 5 999","Protestant","Separated",,NA,"Strong Democrat",NA,"Not Too Happy","No Partners","Not Legal","Sagittarius",1,0.956993511490439,"Gt $0","Age 65+","Age 62+","6+","4+","Protestant","Northeast","0",1
"27",2016,27,1,71,2,1,"Graduate","White","Male","Middle Atlantic",,"Jewish","Married","High School","High School","Strong Democrat","Liberal","Very Happy",NA,NA,"Cancer",1,1.56436336297524,NA,"Age 65+","Age 62+","1","2","Jewish","Northeast",NA,1
"28",2016,28,2,22,0,0,"High School","Black","Male","Middle Atlantic",,"None","Never Married","High School","High School","Independent","Moderate","Not Too Happy","2 Partners","Legal","Scorpio",NA,1.43549026723566,NA,"Age 18-35","Age 18-34","0","0","None","Northeast","2",NA
"29",2016,29,2,74,2,1,"Graduate","White","Male","Middle Atlantic","$110000 to $129999","Jewish","Widowed","Bachelor","High School","Not Str Democrat","Moderate","Pretty Happy",,"Not Legal","Leo",1,0.478496755745219,"Gt $110000","Age 65+","Age 62+","1","2","Jewish","Northeast",NA,1
"30",2016,30,3,75,3,7,"High School","White","Female","Middle Atlantic","$30000 to 34999","Orthodox-Christian","Divorced","High School",,"Ind,near Rep","Conservative","Not Too Happy","No Partners","Legal","Sagittarius",2,0.478496755745219,"Gt $30000","Age 65+","Age 62+","6+","3","Other","Northeast","0",0
"31",2016,31,2,32,0,2,"High School","White","Male","Middle Atlantic","$35000 to 39999","None","Never Married","High School","High School","Ind,near Dem","Liberal","Not Too Happy","No Partners","Legal","Leo",1,2.3924837787261,"Gt $35000","Age 18-35","Age 18-34","2","0","None","Northeast","0",1
"32",2016,32,3,68,2,3,"High School","White","Female","Middle Atlantic","$60000 to 74999","Catholic","Married","High School","High School","Independent","Moderate","Pretty Happy","1 Partner","Legal","Gemini",1,0.956993511490439,"Gt $60000","Age 65+","Age 62+","3","2","Catholic","Northeast","1",1
"33",2016,33,1,55,3,7,"High School","White","Male","Middle Atlantic","$150000 to $169999","None","Married",,"High School","Ind,near Rep","Slightly Conservative","Pretty Happy",NA,NA,"Aries",1,2.34654504446286,"Gt $150000","Age 45-55","Age 49-62","6+","3","None","Northeast",NA,1
"34",2016,34,3,46,1,0,"High School","Black","Male","Middle Atlantic","$75000 to $89999","Protestant","Married","High School","Bachelor","Not Str Democrat","Slightly Conservative","Pretty Happy","1 Partner","Legal","Sagittarius",,0.956993511490439,"Gt $75000","Age 45-55","Age 34-49","0","1","Protestant","Northeast","1",NA
"35",2016,35,1,58,2,0,"High School","White","Female","Middle Atlantic","$40000 to 49999","Catholic","Separated","Lt High School","High School","Strong Democrat","Moderate","Not Too Happy",,NA,"Scorpio",1,0.956993511490439,"Gt $40000","Age 55-65","Age 49-62","0","2","Catholic","Northeast",NA,1
"36",2016,36,2,35,0,1,"High School","White","Male","Middle Atlantic","$90000 to $109999","None","Never Married",,"High School","Strong Republican","Conservative","Not Too Happy","No Partners","Not Legal","Gemini",2,1.56436336297524,"Gt $90000","Age 18-35","Age 34-49","1","0","None","Northeast","0",0
"37",2016,37,2,59,2,2,"Bachelor","White","Male","Middle Atlantic","$75000 to $89999","Catholic","Married","High School","High School","Ind,near Dem","Conservative","Not Too Happy","1 Partner","Legal","Pisces",1,1.91398702298088,"Gt $75000","Age 55-65","Age 49-62","2","2","Catholic","Northeast","1",1
"38",2016,38,1,43,2,6,"Bachelor","White","Female","Middle Atlantic","$110000 to $129999","Protestant","Married",,"Bachelor","Independent","Moderate","Pretty Happy",NA,NA,"Gemini",1,0.956993511490439,"Gt $110000","Age 35-45","Age 34-49","6+","2","Protestant","Northeast",NA,1
"39",2016,39,3,58,0,1,"Bachelor","White","Female","Middle Atlantic","$110000 to $129999","Protestant","Never Married","Bachelor","Bachelor","Strong Republican","Conservative","Very Happy","No Partners","Not Legal","Aquarius",2,0.478496755745219,"Gt $110000","Age 55-65","Age 49-62","1","0","Protestant","Northeast","0",0
"40",2016,40,2,79,1,3,"High School","White","Female","Middle Atlantic","$30000 to 34999","Jewish","Widowed","Lt High School",,"Strong Democrat","Moderate","Pretty Happy","No Partners","Legal","Taurus",1,0.478496755745219,"Gt $30000","Age 65+","Age 62+","3","1","Jewish","Northeast","0",1
"41",2016,41,3,40,1,2,"High School","White","Female","Middle Atlantic","$40000 to 49999","Protestant","Never Married",,"High School","Ind,near Dem","Extremely Conservative","Pretty Happy","1 Partner","Legal","Gemini",NA,0.956993511490439,"Gt $40000","Age 35-45","Age 34-49","2","1","Protestant","Northeast","1",NA
"42",2016,42,1,44,2,9,"High School","Other","Female","Middle Atlantic","$35000 to 39999","Catholic","Married",,"Lt High School","Strong Democrat","Moderate","Not Too Happy",NA,NA,NA,NA,0.956993511490439,"Gt $35000","Age 35-45","Age 34-49","6+","2","Catholic","Northeast",NA,NA
"43",2016,43,2,68,2,3,"Bachelor","Other","Female","Middle Atlantic","$90000 to $109999","None","Married","High School","Bachelor","Not Str Republican","Moderate","Pretty Happy","1 Partner",,"Aquarius",NA,0.956993511490439,"Gt $90000","Age 65+","Age 62+","3","2","None","Northeast","1",NA
"44",2016,44,3,36,0,1,"Graduate","White","Female","Middle Atlantic","$30000 to 34999","None","Never Married","Graduate","Graduate","Not Str Democrat","Liberal","Not Too Happy","2 Partners","Legal",,NA,0.478496755745219,"Gt $30000","Age 35-45","Age 34-49","1","0","None","Northeast","2",NA
"45",2016,45,2,70,0,1,"High School","White","Male","Middle Atlantic","$12500 to 14999","Jewish","Divorced","High School",,"Not Str Republican","Moderate","Very Happy","No Partners","Not Legal","Aquarius",2,0.782181681487619,"Gt $10000","Age 65+","Age 62+","1","0","Jewish","Northeast","0",0
"46",2016,46,3,28,0,8,"High School","White","Male","Middle Atlantic","$75000 to $89999","None","Never Married","High School","Bachelor","Strong Democrat","Extremely Liberal","Very Happy","No Partners","Legal","Aries",1,0.478496755745219,"Gt $75000","Age 18-35","Age 18-34","6+","0","None","Northeast","0",1
"47",2016,47,2,35,0,4,"Bachelor","Black","Female","Middle Atlantic",,"Catholic","Never Married","High School","High School","Not Str Democrat","Liberal","Pretty Happy","1 Partner","Not Legal","Libra",1,0.782181681487619,NA,"Age 18-35","Age 34-49","4","0","Catholic","Northeast","1",1
"48",2016,48,1,33,0,1,"Graduate","Other","Male","Middle Atlantic","$50000 to 59999","None","Married","Bachelor","High School","Ind,near Dem","Extremely Liberal","Not Too Happy",,NA,"Sagittarius",NA,0.956993511490439,"Gt $50000","Age 18-35","Age 18-34","1","0","None","Northeast",NA,NA
"49",2016,49,3,23,0,1,"Bachelor","White","Male","Middle Atlantic","$30000 to 34999","Jewish","Never Married","Graduate","Graduate","Independent","Slightly Liberal","Pretty Happy","2 Partners","Legal","Capricorn",2,0.956993511490439,"Gt $30000","Age 18-35","Age 18-34","1","0","Jewish","Northeast","2",0
"50",2016,50,2,47,0,0,"Graduate","White","Female","Middle Atlantic","$110000 to $129999","Protestant","Divorced",,"Graduate","Strong Democrat","Extremely Liberal","Very Happy","1 Partner","Legal","Scorpio",1,0.478496755745219,"Gt $110000","Age 45-55","Age 34-49","0","0","Protestant","Northeast","1",1
"51",2016,51,2,25,0,1,"Bachelor","Other","Female","Middle Atlantic","$130000 to $149999","None","Never Married","Graduate","Bachelor","Not Str Democrat","Liberal","Very Happy","1 Partner","Legal","Sagittarius",,1.56436336297524,"Gt $130000","Age 18-35","Age 18-34","1","0","None","Northeast","1",NA
"52",2016,52,1,70,2,1,"High School","White","Female","Middle Atlantic","$75000 to $89999","Jewish","Married","High School","High School","Strong Democrat","Extremely Liberal","Pretty Happy",,NA,"Taurus",1,1.56436336297524,"Gt $75000","Age 65+","Age 62+","1","2","Jewish","Northeast",NA,1
"53",2016,53,2,20,0,3,"High School","White","Male","Middle Atlantic",,"Catholic","Never Married","Bachelor","Bachelor","Not Str Republican","Slightly Conservative","Very Happy","2 Partners","Legal","Sagittarius",NA,1.43549026723566,NA,"Age 18-35","Age 18-34","3","0","Catholic","Northeast","2",NA
"54",2016,54,3,41,2,1,"Graduate","White","Male","Middle Atlantic","$170000 or over","Catholic","Married","High School","High School","Ind,near Rep","Moderate","Very Happy","1 Partner","Not Legal","Aries",,1.56436336297524,"Gt $170000","Age 35-45","Age 34-49","1","2","Catholic","Northeast","1",NA
"55",2016,55,1,53,3,5,"Bachelor","White","Female","Middle Atlantic",,"Catholic","Married","High School","High School","Strong Republican","Conservative","Very Happy",NA,NA,"Pisces",2,1.91398702298088,NA,"Age 45-55","Age 49-62","5","3","Catholic","Northeast",NA,0
"56",2016,56,2,42,2,1,"Bachelor","White","Female","Middle Atlantic","$150000 to $169999","Catholic","Married","High School","High School","Ind,near Dem","Extremely Liberal","Pretty Happy","1 Partner","Legal","Taurus",1,0.956993511490439,"Gt $150000","Age 35-45","Age 34-49","1","2","Catholic","Northeast","1",1
"57",2016,57,2,40,3,1,"Graduate","White","Female","Middle Atlantic","$75000 to $89999","Jewish","Divorced","Bachelor","High School","Not Str Democrat","Moderate","Pretty Happy","4 Partners","Not Legal","Aquarius",1,0.478496755745219,"Gt $75000","Age 35-45","Age 34-49","1","3","Jewish","Northeast","4+",1
"58",2016,58,2,57,2,2,"Graduate","White","Female","Middle Atlantic","$60000 to 74999","Jewish","Divorced","Bachelor","Graduate","Not Str Democrat","Slightly Liberal","Pretty Happy","No Partners","Not Legal","Aquarius",1,0.478496755745219,"Gt $60000","Age 55-65","Age 49-62","2","2","Jewish","Northeast","0",1
"59",2016,59,3,59,2,1,"Graduate","White","Female","Middle Atlantic","$8 000 to 9 999","Jewish","Divorced","Graduate","Graduate","Strong Democrat","Liberal","Pretty Happy","1 Partner","Legal","Cancer",2,0.782181681487619,"Gt $0","Age 55-65","Age 49-62","1","2","Jewish","Northeast","1",0
"60",2016,60,1,35,3,4,"Lt High School","White","Female","Middle Atlantic","$12500 to 14999","Catholic","Never Married",,"Lt High School","Strong Democrat","Slightly Conservative","Pretty Happy",NA,NA,"Sagittarius",1,1.56436336297524,"Gt $10000","Age 18-35","Age 34-49","4","3","Catholic","Northeast",NA,1
"61",2016,61,3,26,0,2,"High School","Black","Male","Middle Atlantic","$20000 to 22499","Protestant","Never Married",,"Junior College","Independent","Moderate","Pretty Happy","No Partners","Not Legal","Pisces",1,0.478496755745219,"Gt $20000","Age 18-35","Age 18-34","2","0","Protestant","Northeast","0",1
"62",2016,62,2,35,2,3,"High School","Black","Male","Middle Atlantic","under $1 000","Protestant","Widowed","High School","High School","Independent","Conservative","Not Too Happy","No Partners","Not Legal","Cancer",,0.956993511490439,"Gt $0","Age 18-35","Age 34-49","3","2","Protestant","Northeast","0",NA
"63",2016,63,3,51,3,9,"High School","Black","Female","Middle Atlantic","$8 000 to 9 999","Protestant","Separated",,"High School","Independent","Moderate",NA,NA,NA,NA,1,0.478496755745219,"Gt $0","Age 45-55","Age 49-62","6+","3","Protestant","Northeast",NA,1
"64",2016,64,2,39,3,10,"High School","Black","Female","Middle Atlantic","$25000 to 29999","Protestant","Divorced","High School","High School","Not Str Democrat","Slightly Liberal","Not Too Happy","1 Partner","Legal","Cancer",1,0.956993511490439,"Gt $25000","Age 35-45","Age 34-49","6+","3","Protestant","Northeast","1",1
"65",2016,65,1,27,2,2,"High School","Other","Female","Middle Atlantic","$1 000 to 2 999","Protestant","Never Married",,"Lt High School","Not Str Democrat","Moderate","Pretty Happy",NA,NA,"Aquarius",NA,0.478496755745219,"Gt $0","Age 18-35","Age 18-34","2","2","Protestant","Northeast",NA,NA
"66",2016,66,3,30,2,5,"Lt High School","Other","Male","Middle Atlantic","$30000 to 34999","Catholic","Never Married","High School","Bachelor","Strong Democrat","Extremely Conservative","Pretty Happy","1 Partner","Legal","Pisces",1,0.956993511490439,"Gt $30000","Age 18-35","Age 18-34","5","2","Catholic","Northeast","1",1
"67",2016,67,2,29,2,2,"High School","Other","Male","Middle Atlantic","$22500 to 24999","None","Never Married",,"Lt High School","Ind,near Rep","Slightly Liberal","Pretty Happy","5-10 Partners","Legal","Leo",NA,0.956993511490439,"Gt $20000","Age 18-35","Age 18-34","2","2","None","Northeast","4+",NA
"68",2016,68,1,39,6,0,"Lt High School","Black","Female","Middle Atlantic","under $1 000","None","Never Married",,NA,"Not Str Democrat","Extremely Conservative","Not Too Happy",NA,NA,"Aquarius",1,0.478496755745219,"Gt $0","Age 35-45","Age 34-49","0","4+","None","Northeast",NA,1
"69",2016,69,1,60,3,10,"Lt High School","Black","Female","Middle Atlantic",,"Protestant","Divorced","Lt High School",NA,"Strong Democrat","Slightly Conservative","Pretty Happy",NA,NA,NA,NA,2.34654504446286,NA,"Age 55-65","Age 49-62","6+","3","Protestant","Northeast",NA,NA
"70",2016,70,1,74,4,8,"Lt High School","Other","Female","Middle Atlantic","$17500 to 19999","Catholic","Widowed","Lt High School","Lt High School","Not Str Democrat","Moderate","Not Too Happy",,NA,"Cancer",1,0.478496755745219,"Gt $15000","Age 65+","Age 62+","6+","4+","Catholic","Northeast",NA,1
"71",2016,71,1,74,5,8,"Lt High School","Black","Female","Middle Atlantic","$12500 to 14999","Protestant","Never Married","Lt High School","Lt High School","Not Str Democrat",,"Not Too Happy",NA,NA,"Gemini",NA,0.478496755745219,"Gt $10000","Age 65+","Age 62+","6+","4+","Protestant","Northeast",NA,NA
"72",2016,72,1,57,2,4,"Bachelor","Black","Female","Middle Atlantic","$90000 to $109999","Protestant","Divorced","Bachelor","Graduate","Strong Democrat","Moderate","Very Happy",,NA,NA,1,0.782181681487619,"Gt $90000","Age 55-65","Age 49-62","4","2","Protestant","Northeast",NA,1
"73",2016,73,2,80,1,13,"High School","Black","Male","Middle Atlantic","$50000 to 59999","None","Widowed",,"Junior College","Not Str Democrat","Moderate","Pretty Happy",NA,NA,"Aquarius",1,0.782181681487619,"Gt $50000","Age 65+","Age 62+","6+","1","None","Northeast",NA,1
"74",2016,74,2,70,4,6,"High School","Black","Male","Middle Atlantic","$22500 to 24999","None","Divorced",,"Lt High School","Strong Democrat","Slightly Conservative","Not Too Happy","1 Partner","Legal","Aries",1,0.478496755745219,"Gt $20000","Age 65+","Age 62+","6+","4+","None","Northeast","1",1
"75",2016,75,1,35,2,1,"Bachelor","Black","Female","Middle Atlantic","$75000 to $89999","None","Married","High School","Lt High School","Ind,near Dem","Slightly Liberal","Very Happy",,NA,"Capricorn",1,1.56436336297524,"Gt $75000","Age 18-35","Age 34-49","1","2","None","Northeast",NA,1
"76",2016,76,2,49,4,6,"Lt High School","Black","Female","Middle Atlantic",,"Catholic","Never Married",NA,NA,"Independent","Liberal","Not Too Happy",NA,"Legal","Aries",NA,0.782181681487619,NA,"Age 45-55","Age 34-49","6+","4+","Catholic","Northeast",NA,NA
"77",2016,77,1,36,0,2,"Graduate","White","Female","Middle Atlantic","$50000 to 59999","Protestant","Never Married","Graduate","Graduate","Not Str Democrat","Extremely Liberal","Pretty Happy",,NA,"Sagittarius",1,0.478496755745219,"Gt $50000","Age 35-45","Age 34-49","2","0","Protestant","Northeast",NA,1
"78",2016,78,1,37,0,1,"Graduate","Black","Female","Middle Atlantic","$60000 to 74999","Protestant","Never Married","Graduate","Graduate","Strong Democrat","Extremely Liberal","Pretty Happy",,NA,"Taurus",1,0.782181681487619,"Gt $60000","Age 35-45","Age 34-49","1","0","Protestant","Northeast",NA,1
"79",2016,79,3,78,0,1,"Graduate","White","Female","Middle Atlantic","$170000 or over","Protestant","Widowed","Graduate","Bachelor","Strong Democrat","Extremely Liberal","Very Happy","1 Partner","Legal","Aries",1,0.956993511490439,"Gt $170000","Age 65+","Age 62+","1","0","Protestant","Northeast","1",1
"80",2016,80,3,41,0,2,"High School","Black","Male","Middle Atlantic",,"None","Never Married",NA,"High School",NA,NA,"Very Happy",NA,"Not Legal","Aries",1,1.56436336297524,NA,"Age 35-45","Age 34-49","2","0","None","Northeast",NA,1
"81",2016,81,1,42,2,0,"Junior College","Other","Male","Middle Atlantic","$170000 or over","None","Married","Lt High School","Lt High School","Not Str Democrat","Slightly Liberal","Pretty Happy",,NA,"Taurus",1,0.956993511490439,"Gt $170000","Age 35-45","Age 34-49","0","2","None","Northeast",NA,1
"82",2016,82,3,35,1,1,"Junior College","White","Female","Middle Atlantic","$60000 to 74999","None","Separated",,"High School","Other Party","Slightly Conservative","Not Too Happy","4 Partners","Legal","Cancer",2,0.478496755745219,"Gt $60000","Age 18-35","Age 34-49","1","1","None","Northeast","4+",0
"83",2016,83,1,33,1,2,"Bachelor","White","Male","Middle Atlantic","$150000 to $169999","Catholic","Married","Bachelor","Junior College","Ind,near Rep","Slightly Conservative","Very Happy",,NA,"Sagittarius",NA,1.56436336297524,"Gt $150000","Age 18-35","Age 18-34","2","1","Catholic","Northeast",NA,NA
"84",2016,84,3,44,3,2,"High School","White","Male","Middle Atlantic","$150000 to $169999","Catholic","Divorced","High School","High School","Ind,near Rep","Moderate","Very Happy","1 Partner","Legal","Capricorn",,1.56436336297524,"Gt $150000","Age 35-45","Age 34-49","2","3","Catholic","Northeast","1",NA
"85",2016,85,3,41,3,1,"Junior College","White","Male","Middle Atlantic","$60000 to 74999","Protestant","Married","High School","High School","Not Str Democrat","Moderate","Pretty Happy","1 Partner","Legal","Taurus",,1.56436336297524,"Gt $60000","Age 35-45","Age 34-49","1","3","Protestant","Northeast","1",NA
"86",2016,86,1,52,2,0,"High School","White","Male","Middle Atlantic","$40000 to 49999","None","Divorced","High School","High School","Strong Republican","Moderate","Pretty Happy",,NA,"Taurus",2,0.782181681487619,"Gt $40000","Age 45-55","Age 49-62","0","2","None","Northeast",NA,0
"87",2016,87,2,45,0,6,"Bachelor","White","Female","Middle Atlantic","$75000 to $89999","Protestant","Never Married","High School","High School","Ind,near Rep","Moderate","Pretty Happy","1 Partner","Legal","Virgo",1,0.478496755745219,"Gt $75000","Age 35-45","Age 34-49","6+","0","Protestant","Northeast","1",1
"88",2016,88,1,41,1,3,"High School","Other","Female","Middle Atlantic","$22500 to 24999","Catholic","Divorced","High School","Lt High School","Ind,near Dem","Moderate","Pretty Happy",,NA,"Leo",NA,1.56436336297524,"Gt $20000","Age 35-45","Age 34-49","3","1","Catholic","Northeast",NA,NA
"89",2016,89,3,41,3,10,"High School","White","Female","Middle Atlantic","$22500 to 24999","Catholic","Separated","Lt High School","Lt High School","Ind,near Dem",,"Very Happy","1 Partner","Not Legal","Taurus",NA,2.34654504446286,"Gt $20000","Age 35-45","Age 34-49","6+","3","Catholic","Northeast","1",NA
"90",2016,90,3,68,0,3,"High School","White","Male","Middle Atlantic",,"Jewish","Never Married","High School","Lt High School","Ind,near Dem","Slightly Liberal","Pretty Happy",NA,"Not Legal","Virgo",NA,0.478496755745219,NA,"Age 65+","Age 62+","3","0","Jewish","Northeast",NA,NA
"91",2016,91,2,57,3,1,"High School","Black","Female","Middle Atlantic","$22500 to 24999","None","Never Married","High School","Junior College","Not Str Democrat","Moderate","Pretty Happy","No Partners","Legal","Pisces",1,0.478496755745219,"Gt $20000","Age 55-65","Age 49-62","1","3","None","Northeast","0",1
"92",2016,92,3,72,3,5,"Graduate","Black","Male","Middle Atlantic","$130000 to $149999","None","Married",,"High School","Not Str Democrat","Extremely Liberal","Very Happy","1 Partner","Legal","Sagittarius",1,1.43549026723566,"Gt $130000","Age 65+","Age 62+","5","3","None","Northeast","1",1
"93",2016,93,1,68,0,5,"Graduate","White","Male","Middle Atlantic","$25000 to 29999","Catholic","Divorced","Lt High School","Lt High School","Independent",,"Pretty Happy",NA,NA,"Leo",1,0.782181681487619,"Gt $25000","Age 65+","Age 62+","5","0","Catholic","Northeast",NA,1
"94",2016,94,3,50,0,1,"Bachelor","White","Male","Middle Atlantic","$90000 to $109999","None","Never Married",,"High School","Ind,near Dem","Slightly Liberal","Pretty Happy","2 Partners","Legal","Aquarius",1,0.478496755745219,"Gt $90000","Age 45-55","Age 49-62","1","0","None","Northeast","2",1
"95",2016,95,3,40,0,2,"Graduate","White","Male","Middle Atlantic","$130000 to $149999","Other","Never Married","High School","High School","Ind,near Dem","Slightly Liberal","Pretty Happy","11-20 Partners","Legal","Taurus",1,0.478496755745219,"Gt $130000","Age 35-45","Age 34-49","2","0","Other","Northeast","4+",1
